"date","total_positive_cases","new_positive_cases"
"2020-03-01T00:00:00.000","0","0"
"2020-03-02T00:00:00.000","0","2"
"2020-03-03T00:00:00.000","2","0"
"2020-03-04T00:00:00.000","2","0"
"2020-03-05T00:00:00.000","2","2"
"2020-03-06T00:00:00.000","4","1"
"2020-03-07T00:00:00.000","5","0"
"2020-03-08T00:00:00.000","5","0"
"2020-03-09T00:00:00.000","5","0"
"2020-03-10T00:00:00.000","5","3"
"2020-03-11T00:00:00.000","8","3"
"2020-03-12T00:00:00.000","11","3"
"2020-03-13T00:00:00.000","14","1"
"2020-03-14T00:00:00.000","15","5"
"2020-03-15T00:00:00.000","20","0"
"2020-03-16T00:00:00.000","20","4"
"2020-03-17T00:00:00.000","24","7"
"2020-03-18T00:00:00.000","31","5"
"2020-03-19T00:00:00.000","36","9"
"2020-03-20T00:00:00.000","45","7"
"2020-03-21T00:00:00.000","52","12"
"2020-03-22T00:00:00.000","64","14"
"2020-03-23T00:00:00.000","78","8"
"2020-03-24T00:00:00.000","86","2"
"2020-03-25T00:00:00.000","88","11"
"2020-03-26T00:00:00.000","99","13"
"2020-03-27T00:00:00.000","112","7"
"2020-03-28T00:00:00.000","119","9"
"2020-03-29T00:00:00.000","128","7"
"2020-03-30T00:00:00.000","135","10"
"2020-03-31T00:00:00.000","145","20"
"2020-04-01T00:00:00.000","165","12"
"2020-04-02T00:00:00.000","177","13"
"2020-04-03T00:00:00.000","190","14"
"2020-04-04T00:00:00.000","204","19"
"2020-04-05T00:00:00.000","223","12"
"2020-04-06T00:00:00.000","235","20"
"2020-04-07T00:00:00.000","255","21"
"2020-04-08T00:00:00.000","276","18"
"2020-04-09T00:00:00.000","294","82"
"2020-04-10T00:00:00.000","376","89"
"2020-04-11T00:00:00.000","465","14"
"2020-04-12T00:00:00.000","479","9"
"2020-04-13T00:00:00.000","488","14"
"2020-04-14T00:00:00.000","502","6"
"2020-04-15T00:00:00.000","508","15"
"2020-04-16T00:00:00.000","523","55"
"2020-04-17T00:00:00.000","578","32"
"2020-04-18T00:00:00.000","610","32"
"2020-04-19T00:00:00.000","642","13"
"2020-04-20T00:00:00.000","655","6"
"2020-04-21T00:00:00.000","661","17"
"2020-04-22T00:00:00.000","678","22"
"2020-04-23T00:00:00.000","700","19"
"2020-04-24T00:00:00.000","719","20"
"2020-04-25T00:00:00.000","739","6"
"2020-04-26T00:00:00.000","745","4"
"2020-04-27T00:00:00.000","749","12"
"2020-04-28T00:00:00.000","761","11"
"2020-04-29T00:00:00.000","772","16"
"2020-04-30T00:00:00.000","788","3"
"2020-05-01T00:00:00.000","791","12"
"2020-05-02T00:00:00.000","803","1"
"2020-05-03T00:00:00.000","804","5"
"2020-05-04T00:00:00.000","809","20"
"2020-05-05T00:00:00.000","829","9"
"2020-05-06T00:00:00.000","838","12"
"2020-05-07T00:00:00.000","850","12"
"2020-05-08T00:00:00.000","862","12"
"2020-05-09T00:00:00.000","874","2"
"2020-05-10T00:00:00.000","876","5"
"2020-05-11T00:00:00.000","881","7"
"2020-05-12T00:00:00.000","888","8"
"2020-05-13T00:00:00.000","896","7"
"2020-05-14T00:00:00.000","903","7"
"2020-05-15T00:00:00.000","910","6"
"2020-05-16T00:00:00.000","916","2"
"2020-05-17T00:00:00.000","918","7"
"2020-05-18T00:00:00.000","925","13"
"2020-05-19T00:00:00.000","938","7"
"2020-05-20T00:00:00.000","945","19"
"2020-05-21T00:00:00.000","964","9"
"2020-05-22T00:00:00.000","973","4"
"2020-05-23T00:00:00.000","977","2"
"2020-05-24T00:00:00.000","979","2"
"2020-05-25T00:00:00.000","981","6"
"2020-05-26T00:00:00.000","987","6"
"2020-05-27T00:00:00.000","993","7"
"2020-05-28T00:00:00.000","1000","4"
"2020-05-29T00:00:00.000","1004","5"
"2020-05-30T00:00:00.000","1009","3"
"2020-05-31T00:00:00.000","1012","1"
"2020-06-01T00:00:00.000","1013","5"
"2020-06-02T00:00:00.000","1018","1"
"2020-06-03T00:00:00.000","1019","4"
"2020-06-04T00:00:00.000","1023","3"
"2020-06-05T00:00:00.000","1026","4"
"2020-06-06T00:00:00.000","1030","1"
"2020-06-07T00:00:00.000","1031","1"
"2020-06-08T00:00:00.000","1032","5"
"2020-06-09T00:00:00.000","1037","3"
"2020-06-10T00:00:00.000","1040","3"
"2020-06-11T00:00:00.000","1043","4"
"2020-06-12T00:00:00.000","1047","7"
"2020-06-13T00:00:00.000","1054","4"
"2020-06-14T00:00:00.000","1058","1"
"2020-06-15T00:00:00.000","1059","2"
"2020-06-16T00:00:00.000","1061","1"
"2020-06-17T00:00:00.000","1062","7"
"2020-06-18T00:00:00.000","1069","4"
"2020-06-19T00:00:00.000","1073","4"
"2020-06-20T00:00:00.000","1077","0"
"2020-06-21T00:00:00.000","1077","0"
"2020-06-22T00:00:00.000","1077","4"
"2020-06-23T00:00:00.000","1081","1"
"2020-06-24T00:00:00.000","1082","8"
"2020-06-25T00:00:00.000","1090","2"
"2020-06-26T00:00:00.000","1092","3"
"2020-06-27T00:00:00.000","1095","0"
"2020-06-28T00:00:00.000","1095","2"
"2020-06-29T00:00:00.000","1097","1"
"2020-06-30T00:00:00.000","1098","5"
"2020-07-01T00:00:00.000","1103","4"
"2020-07-02T00:00:00.000","1107","2"
"2020-07-03T00:00:00.000","1109","1"
"2020-07-04T00:00:00.000","1110","0"
"2020-07-05T00:00:00.000","1110","0"
"2020-07-06T00:00:00.000","1110","4"
"2020-07-07T00:00:00.000","1114","2"
