Date,Cumulative Positive Cases,New Positive Cases
March 01 2020,0,0
March 02 2020,0,3
March 03 2020,3,0
March 04 2020,3,0
March 05 2020,3,2
March 06 2020,5,1
March 07 2020,6,0
March 08 2020,6,1
March 09 2020,7,0
March 10 2020,7,3
March 11 2020,10,4
March 12 2020,14,3
March 13 2020,17,1
March 14 2020,18,6
March 15 2020,24,0
March 16 2020,24,5
March 17 2020,29,7
March 18 2020,36,5
March 19 2020,41,7
March 20 2020,48,6
March 21 2020,54,11
March 22 2020,65,14
March 23 2020,79,8
March 24 2020,87,2
March 25 2020,89,12
March 26 2020,101,12
March 27 2020,113,5
March 28 2020,118,9
March 29 2020,127,9
March 30 2020,136,10
March 31 2020,146,19
April 01 2020,165,12
April 02 2020,177,13
April 03 2020,190,14
April 04 2020,204,20
April 05 2020,224,12
April 06 2020,236,20
April 07 2020,256,21
April 08 2020,277,18
April 09 2020,295,82
April 10 2020,377,89
April 11 2020,466,14
April 12 2020,480,9
April 13 2020,489,14
April 14 2020,503,5
April 15 2020,508,16
April 16 2020,524,55
April 17 2020,579,32
April 18 2020,611,32
April 19 2020,643,13
April 20 2020,656,6
April 21 2020,662,18
April 22 2020,680,23
April 23 2020,703,20
April 24 2020,723,21
April 25 2020,744,6
April 26 2020,750,4
April 27 2020,754,12
April 28 2020,766,11
April 29 2020,777,14
April 30 2020,791,3
May 01 2020,794,12
May 02 2020,806,1
May 03 2020,807,5
May 04 2020,812,18
May 05 2020,830,9
May 06 2020,839,12
May 07 2020,851,13
May 08 2020,864,10
May 09 2020,874,2
May 10 2020,876,5
May 11 2020,881,7
May 12 2020,888,8
May 13 2020,896,9
May 14 2020,905,9
May 15 2020,914,7
May 16 2020,921,1
May 17 2020,922,6
May 18 2020,928,12
May 19 2020,940,7
May 20 2020,947,18
May 21 2020,965,8
May 22 2020,973,5
May 23 2020,978,2
May 24 2020,980,2
May 25 2020,982,6
May 26 2020,988,6
May 27 2020,994,7
May 28 2020,1001,5
May 29 2020,1006,6
May 30 2020,1012,3
May 31 2020,1015,1
June 01 2020,1016,5
June 02 2020,1021,2
June 03 2020,1023,5
June 04 2020,1028,4
June 05 2020,1032,4
June 06 2020,1036,2
June 07 2020,1038,0
June 08 2020,1038,5
June 09 2020,1043,2
June 10 2020,1045,1
June 11 2020,1046,4
June 12 2020,1050,7
June 13 2020,1057,4
June 14 2020,1061,1
June 15 2020,1062,2
June 16 2020,1064,1
June 17 2020,1065,6
June 18 2020,1071,4
June 19 2020,1075,4
June 20 2020,1079,0
June 21 2020,1079,0
June 22 2020,1079,5
June 23 2020,1084,1
June 24 2020,1085,8
June 25 2020,1093,1
June 26 2020,1094,4
June 27 2020,1098,0
June 28 2020,1098,2
June 29 2020,1100,1
June 30 2020,1101,6
July 01 2020,1107,4
July 02 2020,1111,1
July 03 2020,1112,1
July 04 2020,1113,0
July 05 2020,1113,1
July 06 2020,1114,3
July 07 2020,1117,2
July 08 2020,1119,1
July 09 2020,1120,3
July 10 2020,1123,4
July 11 2020,1127,3
July 12 2020,1130,2
July 13 2020,1132,2
July 14 2020,1134,2
July 15 2020,1136,7
July 16 2020,1143,3
July 17 2020,1146,5
July 18 2020,1151,1
July 19 2020,1152,5
July 20 2020,1157,3
July 21 2020,1160,7
July 22 2020,1167,4
July 23 2020,1171,5
July 24 2020,1176,1
July 25 2020,1177,2
July 26 2020,1179,5
July 27 2020,1184,5
July 28 2020,1189,4
July 29 2020,1193,4
July 30 2020,1197,2
July 31 2020,1199,6
August 01 2020,1205,1
August 02 2020,1206,2
August 03 2020,1208,5
August 04 2020,1213,4
August 05 2020,1217,4
August 06 2020,1221,6
August 07 2020,1227,4
August 08 2020,1231,1
August 09 2020,1232,1
August 10 2020,1233,0
August 11 2020,1233,2
August 12 2020,1235,6
August 13 2020,1241,6
August 14 2020,1247,5
August 15 2020,1252,3
August 16 2020,1255,2
August 17 2020,1257,1
August 18 2020,1258,3
August 19 2020,1261,5
August 20 2020,1266,1
August 21 2020,1267,2
August 22 2020,1269,1
August 23 2020,1270,0
August 24 2020,1270,2
August 25 2020,1272,4
August 26 2020,1276,2
August 27 2020,1278,3
August 28 2020,1281,5
August 29 2020,1286,2
August 30 2020,1288,1
August 31 2020,1289,6
September 01 2020,1295,3
September 02 2020,1298,1
September 03 2020,1299,4
September 04 2020,1303,2
September 05 2020,1305,0
