Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,260,55,19,,2,0,0,54,7
3/9/2020,332,72,5,,2,0,0,76,5
3/10/2020,436,104,14,,2,0,0,103,6
3/11/2020,609,173,22,,2,0,0,176,6
3/12/2020,1026,417,29,,2,0,0,425,7
3/13/2020,1963,937,61,,2,0,0,971,14
3/14/2020,2862,899,73,,2,0,0,920,15
3/15/2020,3889,1027,68,,2,0,0,1057,27
3/16/2020,6029,2140,150,,2,0,0,2217,18
3/17/2020,8706,2677,249,,2,0,0,2762,28
3/18/2020,11684,2978,259,,2,0,0,3069,157
3/19/2020,14582,2898,278,,2,0,0,2996,142
3/20/2020,18220,3638,388,,2,0,0,3751,124
3/21/2020,20749,2529,321,,2,0,0,2603,168
3/22/2020,22643,1894,286,,2,0,0,1943,159
3/23/2020,26424,3781,609,,2,0,0,3895,202
3/24/2020,30410,3986,718,,2,0,0,4112,207
3/25/2020,34508,4098,746,,2,0,0,4215,269
3/26/2020,38917,4409,936,,2,0,0,4537,299
3/27/2020,43277,4360,943,,2,0,0,4473,342
3/28/2020,46076,2799,654,,2,0,0,2870,332
3/29/2020,48144,2068,523,,2,0,0,2155,318
3/30/2020,53185,5041,1238,,2,0,0,5165,416
3/31/2020,58419,5234,1266,,2,0,0,5459,471
4/1/2020,63339,4920,1337,,2,0,0,5113,463
4/2/2020,68549,5210,1278,,5,3,1,5407,597
4/3/2020,74273,5724,1480,,5,0,0,5938,629
4/4/2020,78245,3972,1163,,9,4,1,4054,690
4/5/2020,81649,3404,977,,9,0,0,3563,539
4/6/2020,88257,6608,1932,,13,4,0,6797,783
4/7/2020,94786,6529,2022,,17,4,0,6655,967
4/8/2020,101552,6766,1864,,19,2,0,6975,983
4/9/2020,107943,6391,1978,,41,22,2,6734,1041
4/10/2020,115506,7563,2054,,42,1,1,7789,1062
4/11/2020,119853,4347,1297,,43,1,0,4496,810
4/12/2020,122866,3013,929,,46,3,2,3089,713
4/13/2020,129133,6267,2017,,54,8,0,6368,1136
4/14/2020,138850,9717,2871,,62,8,2,9847,1498
4/15/2020,148730,9880,2599,,72,10,2,10184,1469
4/16/2020,157598,8868,2387,,93,21,0,8968,1738
4/17/2020,168605,11007,2992,,173,80,5,11383,1742
4/18/2020,174594,5989,1481,,181,8,3,6322,1157
4/19/2020,179163,4569,1089,,191,10,1,4656,940
4/20/2020,189881,10718,2692,,255,64,6,11031,1934
4/21/2020,199290,9409,2190,,331,76,11,9682,2141
4/22/2020,211679,12389,2715,,478,147,17,12688,2709
4/23/2020,222427,10748,2408,,951,473,31,10863,2562
4/24/2020,234750,12323,2283,,1849,898,82,12374,2529
4/25/2020,242927,8177,1496,,2336,487,25,8417,1849
4/26/2020,247794,4867,847,,2791,455,36,4789,1419
4/27/2020,258724,10930,2130,,3933,1142,79,10840,2955
4/28/2020,270952,12228,2107,,5354,1421,83,12268,3007
4/29/2020,283522,12570,2190,,7057,1703,105,12572,2942
4/30/2020,297221,13699,2048,,8435,1378,116,13712,3162
5/1/2020,311265,14044,2084,,10212,1777,130,13982,3308
5/2/2020,318486,7221,1031,,10806,594,57,7304,1893
5/3/2020,323565,5079,735,,11210,404,42,5032,1430
5/4/2020,335598,12033,1881,,13230,2020,162,11896,3548
5/5/2020,348176,12578,1738,,15207,1977,157,12424,3589
5/6/2020,361419,13243,1700,,17186,1979,184,13059,3626
5/7/2020,374849,13430,1683,,19253,2067,173,13407,3684
5/8/2020,388096,13247,1461,,21137,1884,136,13210,3735
5/9/2020,393908,5812,684,,21764,627,38,5708,1980
5/10/2020,397060,3152,386,,22118,354,77,3077,1482
5/11/2020,408842,11782,1313,,23959,1841,162,11604,4038
