Date,Probable Total,Probable New
1/29/2020,0,0
1/30/2020,0,0
1/31/2020,0,0
2/1/2020,0,0
2/2/2020,0,0
2/3/2020,0,0
2/4/2020,0,0
2/5/2020,0,0
2/6/2020,0,0
2/7/2020,0,0
2/8/2020,0,0
2/9/2020,0,0
2/10/2020,0,0
2/11/2020,0,0
2/12/2020,0,0
2/13/2020,0,0
2/14/2020,0,0
2/15/2020,0,0
2/16/2020,0,0
2/17/2020,0,0
2/18/2020,0,0
2/19/2020,0,0
2/20/2020,0,0
2/21/2020,0,0
2/22/2020,0,0
2/23/2020,0,0
2/24/2020,0,0
2/25/2020,0,0
2/26/2020,0,0
2/27/2020,0,0
2/28/2020,0,0
2/29/2020,0,0
3/1/2020,0,0
3/2/2020,0,0
3/3/2020,0,0
3/4/2020,0,0
3/5/2020,0,0
3/6/2020,0,0
3/7/2020,0,0
3/8/2020,0,0
3/9/2020,0,0
3/10/2020,0,0
3/11/2020,0,0
3/12/2020,0,0
3/13/2020,0,0
3/14/2020,0,0
3/15/2020,0,0
3/16/2020,0,0
3/17/2020,0,0
3/18/2020,0,0
3/19/2020,0,0
3/20/2020,0,0
3/21/2020,0,0
3/22/2020,0,0
3/23/2020,1,1
3/24/2020,2,1
3/25/2020,2,0
3/26/2020,3,1
3/27/2020,3,0
3/28/2020,3,0
3/29/2020,4,1
3/30/2020,4,0
3/31/2020,4,0
4/1/2020,4,0
4/2/2020,6,2
4/3/2020,8,2
4/4/2020,11,3
4/5/2020,12,1
4/6/2020,13,1
4/7/2020,13,0
4/8/2020,21,8
4/9/2020,24,3
4/10/2020,28,4
4/11/2020,31,3
4/12/2020,37,6
4/13/2020,44,7
4/14/2020,53,9
4/15/2020,58,5
4/16/2020,63,5
4/17/2020,70,7
4/18/2020,74,4
4/19/2020,78,4
4/20/2020,87,9
4/21/2020,89,2
4/22/2020,90,1
4/23/2020,94,4
4/24/2020,99,5
4/25/2020,101,2
4/26/2020,105,4
4/27/2020,110,5
4/28/2020,115,5
4/29/2020,121,6
4/30/2020,123,2
5/1/2020,126,3
5/2/2020,128,2
5/3/2020,131,3
5/4/2020,134,3
5/5/2020,138,4
5/6/2020,143,5
5/7/2020,145,2
5/8/2020,151,6
5/9/2020,160,9
5/10/2020,161,1
5/11/2020,164,3
5/12/2020,168,4
5/13/2020,169,1
5/14/2020,174,5
5/15/2020,178,4
5/16/2020,186,8
5/17/2020,189,3
5/18/2020,190,1
5/19/2020,204,14
5/20/2020,213,9
5/21/2020,232,19
5/22/2020,243,11
5/23/2020,257,14
5/24/2020,274,17
5/25/2020,293,19
5/26/2020,314,21
5/27/2020,324,10
5/28/2020,330,6
5/29/2020,346,16
5/30/2020,354,8
5/31/2020,360,6
6/1/2020,366,6
6/2/2020,374,8
6/3/2020,376,2
6/4/2020,377,1
6/5/2020,381,4
6/6/2020,384,3
6/7/2020,394,10
6/8/2020,399,5
6/9/2020,409,10
6/10/2020,421,12
6/11/2020,429,8
6/12/2020,437,8
6/13/2020,444,7
6/14/2020,449,5
6/15/2020,458,9
6/16/2020,469,11
6/17/2020,489,20
6/18/2020,494,5
6/19/2020,499,5
6/20/2020,503,4
6/21/2020,506,3
6/22/2020,513,7
6/23/2020,517,4
6/24/2020,528,11
6/25/2020,536,8
6/26/2020,542,6
6/27/2020,545,3
6/28/2020,549,4
6/29/2020,558,9
6/30/2020,564,6
7/1/2020,574,10
7/2/2020,584,10
7/3/2020,593,9
7/4/2020,604,11
7/5/2020,617,13
7/6/2020,632,15
7/7/2020,649,17
7/8/2020,667,18
7/9/2020,685,18
7/10/2020,691,6
7/11/2020,707,16
7/12/2020,742,35
7/13/2020,747,5
7/14/2020,765,18
7/15/2020,770,5
7/16/2020,795,25
7/17/2020,799,4
7/18/2020,819,20
7/19/2020,834,15
7/20/2020,864,30
7/21/2020,898,34
7/22/2020,941,43
7/23/2020,965,24
7/24/2020,989,24
7/25/2020,1030,41
7/26/2020,1054,24
7/27/2020,1086,32
7/28/2020,1118,32
7/29/2020,1135,17
7/30/2020,1168,33
7/31/2020,1173,5
8/1/2020,1184,11
8/2/2020,1204,20
8/3/2020,1219,15
8/4/2020,1237,18
8/5/2020,1264,27
8/6/2020,1288,24
8/7/2020,1301,13
8/8/2020,1317,16
8/9/2020,1325,8
8/10/2020,1348,23
8/11/2020,1356,8
8/12/2020,1374,18
8/13/2020,1392,18
8/14/2020,1416,24
8/15/2020,1419,3
8/16/2020,1433,14
8/17/2020,1449,16
8/18/2020,1450,1
8/19/2020,1473,23
8/20/2020,1491,18
8/21/2020,1508,17
8/22/2020,1528,20
8/23/2020,1545,17
8/24/2020,1563,18
8/25/2020,1588,25
8/26/2020,1621,33
8/27/2020,1626,5
8/28/2020,1658,32
8/29/2020,1681,23
8/30/2020,1700,19
8/31/2020,1703,3
9/1/2020,1705,2
9/2/2020,1705,0
