Date,County,New Confirmed Cases,Total Confirmed Cases,New Probable and Confirmed Deaths,Total Probable and Confirmed Deaths
8/19/2020,Barnstable,0,1579,2,164
8/19/2020,Berkshire,1,632,0,46
8/19/2020,Bristol,12,8864,0,644
8/19/2020,Dukes,0,50,,
8/19/2020,Essex,56,17435,1,1205
8/19/2020,Franklin,0,375,0,61
8/19/2020,Hampden,12,7482,3,729
8/19/2020,Hampshire,9,1107,0,131
8/19/2020,Middlesex,42,24538,10,2034
8/19/2020,Nantucket,0,34,,
8/19/2020,Norfolk,23,9293,2,1004
8/19/2020,Plymouth,17,8881,0,730
8/19/2020,Suffolk,70,21393,4,1090
8/19/2020,Worcester,18,13107,6,1032
8/19/2020,Unknown,4,278,0,5
8/19/2020,Dukes and Nantucket,,,0,1
8/20/2020,Barnstable,3,1582,0,164
8/20/2020,Berkshire,1,633,0,46
8/20/2020,Bristol,15,8879,1,645
8/20/2020,Dukes,1,51,,
8/20/2020,Essex,52,17487,2,1207
8/20/2020,Franklin,2,377,0,61
8/20/2020,Hampden,23,7505,3,732
8/20/2020,Hampshire,3,1110,0,131
8/20/2020,Middlesex,58,24596,2,2036
8/20/2020,Nantucket,0,34,,
8/20/2020,Norfolk,18,9311,0,1004
8/20/2020,Plymouth,8,8889,1,731
8/20/2020,Suffolk,66,21459,1,1091
8/20/2020,Worcester,24,13131,2,1034
8/20/2020,Unknown,0,266,0,5
8/20/2020,Dukes and Nantucket,,,0,1
8/21/2020,Barnstable,2,1584,0,164
8/21/2020,Berkshire,1,634,0,46
8/21/2020,Bristol,36,8915,4,649
8/21/2020,Dukes,0,51,,
8/21/2020,Essex,63,17550,3,1210
8/21/2020,Franklin,3,380,0,61
8/21/2020,Hampden,12,7517,0,732
8/21/2020,Hampshire,6,1116,2,133
8/21/2020,Middlesex,75,24671,2,2038
8/21/2020,Nantucket,0,34,,
8/21/2020,Norfolk,29,9340,0,1004
8/21/2020,Plymouth,23,8912,1,732
8/21/2020,Suffolk,117,21576,1,1092
8/21/2020,Worcester,51,13182,0,1034
8/21/2020,Unknown,13,279,0,5
8/21/2020,Dukes and Nantucket,,,0,1
8/22/2020,Barnstable,0,1583,0,164
8/22/2020,Berkshire,0,633,0,46
8/22/2020,Bristol,4,8919,1,650
8/22/2020,Dukes,0,51,,
8/22/2020,Essex,24,17574,5,1215
8/22/2020,Franklin,0,380,0,61
8/22/2020,Hampden,4,7521,2,734
8/22/2020,Hampshire,0,1116,0,133
8/22/2020,Middlesex,27,24698,5,2043
8/22/2020,Nantucket,1,35,,
8/22/2020,Norfolk,2,9342,0,1004
8/22/2020,Plymouth,3,8915,4,736
8/22/2020,Suffolk,12,21588,1,1093
8/22/2020,Worcester,14,13196,2,1036
8/22/2020,Unknown,20,299,0,5
8/22/2020,Dukes and Nantucket,,,0,1
8/24/2020,Barnstable,2,1585,0,164
8/24/2020,Berkshire,8,641,0,46
8/24/2020,Bristol,35,8954,0,650
8/24/2020,Dukes,0,51,,
8/24/2020,Essex,80,17654,5,1220
8/24/2020,Franklin,1,381,0,61
8/24/2020,Hampden,17,7538,3,737
8/24/2020,Hampshire,14,1130,1,134
8/24/2020,Middlesex,102,24800,10,2053
8/24/2020,Nantucket,1,36,,
8/24/2020,Norfolk,40,9382,1,1005
8/24/2020,Plymouth,40,8955,1,737
8/24/2020,Suffolk,198,21786,2,1095
8/24/2020,Worcester,34,13230,5,1041
8/24/2020,Unknown,0,298,0,5
8/24/2020,Dukes and Nantucket,,,0,1
8/25/2020,Barnstable,6,1591,0,164
8/25/2020,Berkshire,4,645,0,46
8/25/2020,Bristol,18,8972,2,652
8/25/2020,Dukes,3,54,,
8/25/2020,Essex,53,17707,2,1222
8/25/2020,Franklin,2,382,0,61
8/25/2020,Hampden,17,7555,2,739
8/25/2020,Hampshire,5,1135,1,135
8/25/2020,Middlesex,90,24890,1,2054
8/25/2020,Nantucket,2,38,,
8/25/2020,Norfolk,24,9406,1,1006
8/25/2020,Plymouth,20,8975,1,737
8/25/2020,Suffolk,69,21855,2,1097
8/25/2020,Worcester,27,13257,1,1042
8/25/2020,Unknown,10,308,0,5
8/25/2020,Dukes and Nantucket,,,0,1
8/26/2020,Barnstable,3,1594,1,165
8/26/2020,Berkshire,3,648,0,46
8/26/2020,Bristol,21,8993,1,653
8/26/2020,Dukes,0,54,,
8/26/2020,Essex,65,17772,4,1226
8/26/2020,Franklin,3,385,2,63
8/26/2020,Hampden,14,7569,5,744
8/26/2020,Hampshire,4,1139,1,136
8/26/2020,Middlesex,48,24938,4,2058
8/26/2020,Nantucket,0,38,,
8/26/2020,Norfolk,13,9419,2,1008
8/26/2020,Plymouth,14,8989,1,738
8/26/2020,Suffolk,91,21946,4,1101
8/26/2020,Worcester,35,13292,1,1043
8/26/2020,Unknown,1,309,0,5
8/26/2020,Dukes and Nantucket,,,0,1
8/27/2020,Barnstable,4,1598,0,165
8/27/2020,Berkshire,3,651,0,46
8/27/2020,Bristol,29,9022,2,655
8/27/2020,Dukes,0,54,,
8/27/2020,Essex,52,17824,2,1228
8/27/2020,Franklin,2,387,0,63
8/27/2020,Hampden,22,7591,2,746
8/27/2020,Hampshire,5,1144,0,136
8/27/2020,Middlesex,81,25019,4,2062
8/27/2020,Nantucket,0,38,,
8/27/2020,Norfolk,20,9439,3,1011
8/27/2020,Plymouth,18,9007,1,739
8/27/2020,Suffolk,90,22036,4,1105
8/27/2020,Worcester,27,13319,3,1046
8/27/2020,Unknown,12,321,0,5
8/27/2020,Dukes and Nantucket,,,0,1
8/28/2020,Barnstable,7,1605,0,165
8/28/2020,Berkshire,4,655,0,46
8/28/2020,Bristol,28,9050,2,657
8/28/2020,Dukes,2,56,,
8/28/2020,Essex,76,17900,3,1231
8/28/2020,Franklin,0,387,1,64
8/28/2020,Hampden,26,7617,0,746
8/28/2020,Hampshire,9,1153,1,137
8/28/2020,Middlesex,86,25105,0,2062
8/28/2020,Nantucket,1,39,,
8/28/2020,Norfolk,28,9467,3,1014
8/28/2020,Plymouth,30,9037,1,740
8/28/2020,Suffolk,107,22143,1,1106
8/28/2020,Worcester,29,13348,4,1050
8/28/2020,Unknown,5,326,0,5
8/28/2020,Dukes and Nantucket,,,0,1
8/29/2020,Barnstable,5,1610,0,165
8/29/2020,Berkshire,5,660,0,46
8/29/2020,Bristol,45,9095,0,657
8/29/2020,Dukes,0,56,,
8/29/2020,Essex,52,17952,3,1234
8/29/2020,Franklin,2,389,0,64
8/29/2020,Hampden,17,7634,0,746
8/29/2020,Hampshire,9,1162,1,138
8/29/2020,Middlesex,99,25204,2,2064
8/29/2020,Nantucket,2,41,,
8/29/2020,Norfolk,28,9495,2,1016
8/29/2020,Plymouth,32,9069,0,740
8/29/2020,Suffolk,89,22232,1,1107
8/29/2020,Worcester,36,13384,3,1053
8/29/2020,Unknown,0,326,0,5
8/29/2020,Dukes and Nantucket,,,0,1
8/30/2020,Barnstable,9,1619,0,165
8/30/2020,Berkshire,1,661,0,46
8/30/2020,Bristol,13,9108,2,659
8/30/2020,Dukes,0,56,,
8/30/2020,Essex,27,17979,2,1236
8/30/2020,Franklin,0,389,1,65
8/30/2020,Hampden,4,7638,0,746
8/30/2020,Hampshire,3,1165,0,138
8/30/2020,Middlesex,33,25237,4,2068
8/30/2020,Nantucket,0,41,,
8/30/2020,Norfolk,8,9503,1,1017
8/30/2020,Plymouth,15,9084,1,741
8/30/2020,Suffolk,53,22285,0,1107
8/30/2020,Worcester,11,13395,2,1055
8/30/2020,Unknown,0,323,0,5
8/30/2020,Dukes and Nantucket,,,0,1
8/31/2020,Barnstable,5,1624,0,165
8/31/2020,Berkshire,1,662,0,46
8/31/2020,Bristol,33,9141,0,659
8/31/2020,Dukes,0,56,,
8/31/2020,Essex,28,18007,3,1239
8/31/2020,Franklin,2,391,0,65
8/31/2020,Hampden,26,7664,0,746
8/31/2020,Hampshire,2,1167,2,140
8/31/2020,Middlesex,70,25307,2,2070
8/31/2020,Nantucket,0,41,,
8/31/2020,Norfolk,27,9530,1,1018
8/31/2020,Plymouth,13,9097,1,742
8/31/2020,Suffolk,69,22354,2,1109
8/31/2020,Worcester,22,13417,0,1055
8/31/2020,Unknown,3,326,0,5
8/31/2020,Dukes and Nantucket,,,0,1
9/1/2020,Barnstable,6,1630,0,165
9/1/2020,Berkshire,3,665,0,46
9/1/2020,Bristol,34,9175,0,659
9/1/2020,Dukes,0,56,,
9/1/2020,Essex,49,18056,1,1240
9/1/2020,Franklin,1,392,0,65
9/1/2020,Hampden,16,7680,1,747
9/1/2020,Hampshire,6,1173,0,140
9/1/2020,Middlesex,67,25374,1,2071
9/1/2020,Nantucket,1,42,,
9/1/2020,Norfolk,17,9547,0,1018
9/1/2020,Plymouth,21,9118,0,742
9/1/2020,Suffolk,80,22434,1,1110
9/1/2020,Worcester,41,13458,0,1055
9/1/2020,Unknown,12,338,0,5
9/1/2020,Dukes and Nantucket,,,0,1
,***PROBABLE CASE DEFINITION CHANGED STARTING 9/2; PLEASE REFER TO THE POSTED DASHBOARD'S GLOSSARY FOR DEFINITION***,,,,
9/2/2020,Barnstable,5,1635,1,166
9/2/2020,Berkshire,0,665,0,46
9/2/2020,Bristol,36,9211,0,655
9/2/2020,Dukes,0,56,,
9/2/2020,Essex,69,18125,1,1241
9/2/2020,Franklin,0,392,1,66
9/2/2020,Hampden,6,7686,4,751
9/2/2020,Hampshire,3,1176,0,140
9/2/2020,Middlesex,37,25411,0,2070
9/2/2020,Nantucket,0,42,,
9/2/2020,Norfolk,22,9569,1,1019
9/2/2020,Plymouth,17,9135,0,741
9/2/2020,Suffolk,74,22508,0,1104
9/2/2020,Worcester,25,13483,0,1055
9/2/2020,Unknown,-6,332,0,5
9/2/2020,Dukes and Nantucket,,,0,1
9/3/2020,Barnstable,10,1645,0,166
9/3/2020,Berkshire,4,669,0,46
9/3/2020,Bristol,41,9252,4,659
9/3/2020,Dukes,0,56,,
9/3/2020,Essex,61,18186,2,1243
9/3/2020,Franklin,0,392,0,66
9/3/2020,Hampden,12,7698,3,754
9/3/2020,Hampshire,4,1180,0,140
9/3/2020,Middlesex,84,25495,1,2071
9/3/2020,Nantucket,1,43,,
9/3/2020,Norfolk,28,9597,2,1021
9/3/2020,Plymouth,18,9153,2,743
9/3/2020,Suffolk,85,22593,2,1106
9/3/2020,Worcester,39,13522,1,1056
9/3/2020,Unknown,6,338,0,5
9/3/2020,Dukes and Nantucket,,,0,1
9/4/2020,Barnstable,9,1654,2,168
9/4/2020,Berkshire,0,669,0,46
9/4/2020,Bristol,44,9296,2,661
9/4/2020,Dukes,0,56,,
9/4/2020,Essex,63,18249,6,1249
9/4/2020,Franklin,2,394,0,66
9/4/2020,Hampden,20,7718,1,755
9/4/2020,Hampshire,3,1183,1,141
