Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests,All Molecular Tests,All Positive Molecular Tests,Antigen Positive New,Antigen New,Antigen Total
1/22/2020,1,1,0,,0,0,0,1,0,1,0,0,0,0
1/23/2020,2,1,0,,0,0,0,1,0,1,0,0,0,0
1/24/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0,1,0,0,0,0
1/28/2020,3,0,0,,0,0,0,0,0,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0,1,1,0,0,0
1/30/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0,3,0,0,0,0
2/4/2020,9,2,0,,0,0,0,2,0,2,0,0,0,0
2/5/2020,9,0,0,,0,0,0,0,0,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0,1,1,0,0,0
2/7/2020,10,0,0,,0,0,0,0,0,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0,1,0,0,0,0
2/9/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1,1,1,0,0,0
2/11/2020,11,0,0,,0,0,0,0,0,0,0,0,0,0
2/12/2020,12,1,0,,0,0,0,1,0,1,0,0,0,0
2/13/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/14/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/15/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/16/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/17/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/18/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/19/2020,12,0,0,,0,0,0,0,0,0,0,0,0,0
2/20/2020,13,1,0,,0,0,0,1,1,2,1,0,0,0
2/21/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/22/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/23/2020,13,0,0,,0,0,0,0,0,0,0,0,0,0
2/24/2020,13,0,0,,1,1,0,0,2,2,1,0,0,0
2/25/2020,13,0,0,,1,0,0,0,0,0,0,0,0,0
2/26/2020,13,0,0,,1,0,0,0,0,0,0,0,0,0
2/27/2020,14,1,0,,1,0,0,1,0,1,0,0,0,0
2/28/2020,14,0,0,,1,0,0,0,2,2,1,0,0,0
2/29/2020,15,1,0,,1,0,0,1,0,1,0,0,0,0
3/1/2020,17,2,1,,1,0,0,2,2,4,1,0,0,0
3/2/2020,20,3,0,,1,0,0,3,3,6,1,0,0,0
3/3/2020,34,14,1,,2,1,0,14,1,15,1,0,0,0
3/4/2020,53,19,2,,2,0,0,19,3,22,2,0,0,0
3/5/2020,85,32,8,,2,0,0,33,3,36,8,0,0,0
3/6/2020,123,38,14,,2,0,0,42,7,49,14,0,0,0
3/7/2020,207,84,44,,2,0,0,86,14,100,44,0,0,0
3/8/2020,262,55,19,,2,0,0,54,7,61,20,0,0,0
3/9/2020,333,71,5,,2,0,0,76,5,81,7,0,0,0
3/10/2020,437,104,14,,2,0,0,103,6,109,14,0,0,0
3/11/2020,610,173,22,,2,0,0,176,6,182,23,0,0,0
3/12/2020,1027,417,29,,2,0,0,425,7,432,29,0,0,0
3/13/2020,1964,937,61,,2,0,0,971,14,985,64,0,0,0
3/14/2020,2862,898,73,,2,0,0,920,15,935,74,0,0,0
3/15/2020,3889,1027,68,,2,0,0,1057,27,1084,72,0,0,0
3/16/2020,6028,2139,150,,2,0,0,2217,18,2235,152,0,0,0
3/17/2020,8702,2674,249,,2,0,0,2761,28,2789,255,0,0,0
3/18/2020,11680,2978,259,,2,0,0,3070,157,3227,263,0,0,0
3/19/2020,14577,2897,278,,2,0,0,2996,142,3138,286,0,0,0
3/20/2020,18214,3637,388,,2,0,0,3753,124,3877,394,0,0,0
3/21/2020,20744,2530,322,,2,0,0,2604,168,2772,340,0,0,0
3/22/2020,22633,1889,286,,2,0,0,1941,160,2101,298,0,0,0
3/23/2020,26405,3772,609,,2,0,0,3895,202,4097,632,0,0,0
3/24/2020,30385,3980,718,,2,0,0,4112,207,4319,738,0,0,0
3/25/2020,34476,4091,746,,2,0,0,4213,269,4482,792,0,0,0
3/26/2020,38881,4405,935,,2,0,0,4538,299,4837,984,0,0,0
3/27/2020,43237,4356,943,,2,0,0,4473,343,4816,1007,0,0,0
3/28/2020,46032,2795,654,,2,0,0,2870,332,3202,704,0,0,0
3/29/2020,48097,2065,523,,2,0,0,2155,318,2473,576,0,0,0
3/30/2020,53131,5034,1238,,2,0,0,5165,416,5581,1317,0,0,0
3/31/2020,58360,5229,1266,,2,0,0,5460,471,5931,1403,0,0,0
4/1/2020,63275,4915,1339,,2,0,0,5114,464,5578,1425,0,0,0
4/2/2020,68479,5204,1278,,5,3,1,5411,597,6008,1404,0,0,0
4/3/2020,74197,5718,1480,,5,0,0,5938,629,6567,1625,0,0,0
4/4/2020,78165,3968,1162,,9,4,1,4054,691,4745,1322,0,0,0
4/5/2020,81569,3404,977,,9,0,0,3564,540,4104,1078,0,0,0
4/6/2020,88172,6603,1932,,13,4,0,6800,783,7583,2101,0,0,0
4/7/2020,94699,6527,2022,,17,4,0,6657,967,7624,2241,0,0,0
4/8/2020,101461,6762,1864,,19,2,0,6976,983,7959,2107,0,0,0
4/9/2020,107842,6381,1978,,41,22,2,6729,1041,7770,2276,0,0,0
4/10/2020,115382,7540,2054,,42,1,1,7781,1063,8844,2314,0,0,0
4/11/2020,119719,4337,1297,,43,1,0,4489,813,5302,1473,0,0,0
4/12/2020,122725,3006,930,,46,3,2,3084,718,3802,1073,0,0,0
4/13/2020,128994,6269,2017,,54,8,0,6375,1142,7517,2263,0,0,0
4/14/2020,138701,9707,2871,,62,8,2,9848,1500,11348,3214,0,0,0
4/15/2020,148573,9872,2599,,72,10,2,10183,1472,11655,2913,0,0,0
4/16/2020,157414,8841,2387,,93,21,0,8956,1750,10706,2797,0,0,0
4/17/2020,168317,10903,2991,,173,80,5,11289,1836,13125,3323,0,0,0
4/18/2020,174283,5966,1481,,181,8,3,6310,1169,7479,1708,1,1,1
4/19/2020,178836,4553,1089,,191,10,1,4653,944,5597,1267,0,0,1
4/20/2020,189528,10692,2688,,254,63,6,11012,1959,12971,3109,0,0,1
4/21/2020,198905,9377,2187,,330,76,11,9653,2168,11821,2710,0,0,1
4/22/2020,211248,12343,2708,,477,147,17,12653,2744,15397,3228,0,0,1
4/23/2020,221973,10725,2407,,950,473,31,10849,2574,13423,2933,0,0,1
4/24/2020,234270,12297,2281,,1848,898,82,12361,2544,14905,2818,0,0,1
4/25/2020,242433,8163,1494,,2335,487,25,8409,1857,10266,1830,0,0,1
4/26/2020,247289,4856,845,,2790,455,36,4780,1428,6208,1166,0,0,1
4/27/2020,258199,10910,2130,,3932,1142,79,10834,2962,13796,2770,0,0,1
4/28/2020,270400,12201,2104,,5352,1420,83,12253,3025,15278,2767,0,0,1
4/29/2020,282960,12560,2187,,7055,1703,105,12566,2950,15516,2825,0,0,1
4/30/2020,296657,13697,2047,,8432,1377,116,13727,3168,16895,2705,0,0,1
5/1/2020,310676,14019,2083,,10208,1776,130,13972,3320,17292,2732,0,0,1
5/2/2020,317886,7210,1029,,10802,594,57,7298,1899,9197,1412,0,0,1
5/3/2020,322957,5071,734,,11206,404,42,5027,1433,6460,1001,0,1,2
5/4/2020,334900,11943,1880,,13226,2020,162,11831,3613,15444,2710,0,0,2
5/5/2020,347410,12510,1735,,15201,1975,157,12366,3651,16017,2505,0,1,3
5/6/2020,360630,13220,1699,,17179,1978,184,13049,3634,16683,2483,0,0,3
5/7/2020,374031,13401,1679,,19247,2068,173,13404,3710,17114,2469,0,0,3
5/8/2020,387253,13222,1456,,21131,1884,136,13206,3753,16959,2224,0,0,3
5/9/2020,393054,5801,684,,21758,627,38,5705,1984,7689,1025,0,0,3
5/10/2020,396193,3139,385,,22112,354,77,3073,1487,4560,674,0,0,3
5/11/2020,407957,11764,1310,,23951,1839,162,11601,4046,15647,2124,0,0,3
5/12/2020,421188,13231,1451,,25823,1872,148,13050,4312,17362,2270,0,0,3
5/13/2020,435103,13915,1316,,27568,1745,178,13753,4169,17922,2110,1,1,4
5/14/2020,448444,13341,1313,,29199,1631,165,13158,4225,17383,2083,0,0,4
5/15/2020,462218,13774,1105,,30814,1615,141,13601,4215,17816,1852,0,0,4
5/16/2020,469295,7077,646,,31348,534,50,6965,2375,9340,1033,1,1,5
5/17/2020,473575,4280,363,115,31706,358,54,4226,1629,5855,596,3,3,8
5/18/2020,486932,13357,1319,1,33332,1626,137,13164,4451,17615,2144,1,1,9
5/19/2020,499235,12303,1076,0,35036,1704,164,12185,4505,16690,1860,16,82,91
5/20/2020,512030,12795,1014,0,36896,1860,149,12591,4319,16910,1679,12,100,191
5/21/2020,523720,11690,966,0,38602,1706,193,11525,4421,15946,1670,19,282,473
5/22/2020,534736,11016,865,0,40246,1644,158,10858,3954,14812,1504,10,213,686
5/23/2020,539686,4950,389,0,40667,421,41,4895,1818,6713,628,16,197,883
5/24/2020,543774,4088,302,0,40980,313,40,4024,1535,5559,509,15,204,1087
5/25/2020,546867,3093,198,0,41310,330,49,3072,1492,4564,382,20,234,1321
