date,positiveCasesViral,positiveCasesViralIncrease,positiveCasesViralIncrease7d,dPositiveCasesViralIncrease7d
2020-03-01,0,0,NA,NA
2020-03-02,3,3,NA,NA
2020-03-03,3,0,NA,NA
2020-03-04,3,0,NA,NA
2020-03-05,5,2,NA,NA
2020-03-06,6,1,NA,NA
2020-03-07,6,0,0.8571428571428571,NA
2020-03-08,7,1,1,NA
2020-03-09,7,0,0.5714285714285714,NA
2020-03-10,10,3,1,NA
2020-03-11,14,4,1.5714285714285714,NA
2020-03-12,17,3,1.7142857142857142,NA
2020-03-13,18,1,1.7142857142857142,NA
2020-03-14,24,6,2.5714285714285716,2.0000000000000004
2020-03-15,24,0,2.4285714285714284,1.4285714285714284
2020-03-16,29,5,3.142857142857143,4.5
2020-03-17,36,7,3.7142857142857144,2.714285714285714
2020-03-18,41,5,3.857142857142857,1.454545454545455
2020-03-19,48,7,4.428571428571429,1.583333333333334
2020-03-20,54,6,5.142857142857143,2.0000000000000004
2020-03-21,65,11,5.857142857142857,1.2777777777777777
2020-03-22,79,14,7.857142857142857,2.2352941176470593
2020-03-23,87,8,8.285714285714286,1.6363636363636362
2020-03-24,89,2,7.571428571428571,1.0384615384615383
2020-03-25,101,12,8.571428571428571,1.2222222222222219
2020-03-26,113,12,9.285714285714286,1.096774193548387
2020-03-27,118,5,9.142857142857142,0.7777777777777777
2020-03-28,127,9,8.857142857142858,0.5121951219512195
2020-03-29,136,9,8.142857142857142,0.036363636363636154
2020-03-30,146,10,8.428571428571429,0.017241379310344973
2020-03-31,165,19,10.857142857142858,0.4339622641509431
2020-04-01,177,12,10.857142857142858,0.2666666666666664
2020-04-02,190,13,11,0.18461538461538485
2020-04-03,204,14,12.285714285714286,0.34375
2020-04-04,224,20,13.857142857142858,0.5645161290322578
2020-04-05,236,12,14.285714285714286,0.7543859649122804
2020-04-06,256,20,15.714285714285714,0.8644067796610162
2020-04-07,277,21,16,0.47368421052631593
2020-04-08,295,18,16.857142857142858,0.552631578947369
2020-04-09,377,82,26.714285714285715,1.4285714285714284
2020-04-10,466,89,37.42857142857143,2.0465116279069773
2020-04-11,480,14,36.57142857142857,1.6391752577319596
2020-04-12,489,9,36.142857142857146,1.5300000000000002
2020-04-13,503,14,35.285714285714285,1.245454545454546
2020-04-14,508,5,33,1.0625
2020-04-15,524,16,32.714285714285715,0.9406779661016949
2020-04-16,579,55,28.857142857142858,0.0802139037433156
2020-04-17,611,32,20.714285714285715,-0.4465648854961831
2020-04-18,643,32,23.285714285714285,-0.3632812500000002
2020-04-19,656,13,23.857142857142858,-0.3399209486166006
2020-04-20,662,6,22.714285714285715,-0.35627530364372484
2020-04-21,680,18,24.571428571428573,-0.2554112554112554
2020-04-22,703,23,25.571428571428573,-0.21834061135371174
2020-04-23,723,20,20.571428571428573,-0.2871287128712873
2020-04-24,744,21,19,-0.08275862068965545
2020-04-25,750,6,15.285714285714286,-0.34355828220858897
2020-04-26,754,4,14,-0.41317365269461104
2020-04-27,766,12,14.857142857142858,-0.3459119496855344
2020-04-28,777,11,13.857142857142858,-0.4360465116279071
2020-04-29,791,14,12.571428571428571,-0.5083798882681566
2020-04-30,794,3,10.142857142857142,-0.5069444444444444
2020-05-01,806,12,8.857142857142858,-0.5338345864661653
2020-05-02,807,1,8.142857142857142,-0.46728971962616817
2020-05-03,812,5,8.285714285714286,-0.40816326530612235
2020-05-04,830,18,9.142857142857142,-0.3846153846153847
2020-05-05,839,9,8.857142857142858,-0.3608247422680412
2020-05-06,851,12,8.571428571428571,-0.318181818181818
2020-05-07,864,13,10,-0.01408450704225317
2020-05-08,874,10,9.714285714285714,0.09677419354838723
2020-05-09,876,2,9.857142857142858,0.2105263157894739
2020-05-10,881,5,9.857142857142858,0.18965517241379315
2020-05-11,888,7,8.285714285714286,-0.09374999999999989
2020-05-12,896,8,8.142857142857142,-0.08064516129032262
2020-05-13,905,9,7.714285714285714,-0.09999999999999998
2020-05-14,914,9,7.142857142857143,-0.2857142857142859
2020-05-15,921,7,6.714285714285714,-0.30882352941176483
2020-05-16,922,1,6.571428571428571,-0.3333333333333335
2020-05-17,928,6,6.714285714285714,-0.3188405797101451
2020-05-18,940,12,7.428571428571429,-0.10344827586206895
2020-05-19,947,7,7.285714285714286,-0.10526315789473684
2020-05-20,965,18,8.571428571428571,0.11111111111111116
2020-05-21,973,8,8.428571428571429,0.18000000000000016
2020-05-22,978,5,8.142857142857142,0.2127659574468086
2020-05-23,980,2,8.285714285714286,0.2608695652173916
2020-05-24,982,2,7.714285714285714,0.14893617021276606
2020-05-25,988,6,6.857142857142857,-0.0769230769230771
2020-05-26,994,6,6.714285714285714,-0.07843137254901966
2020-05-27,1001,7,5.142857142857143,-0.4
2020-05-28,1006,5,4.714285714285714,-0.44067796610169496
2020-05-29,1012,6,4.857142857142857,-0.4035087719298245
2020-05-30,1015,3,5,-0.39655172413793116
2020-05-31,1016,1,4.857142857142857,-0.37037037037037035
2020-06-01,1021,5,4.714285714285714,-0.3124999999999999
2020-06-02,1023,2,4.142857142857143,-0.3829787234042552
2020-06-03,1028,5,3.857142857142857,-0.2499999999999999
2020-06-04,1032,4,3.7142857142857144,-0.21212121212121227
2020-06-05,1036,4,3.4285714285714284,-0.2941176470588236
2020-06-06,1038,2,3.2857142857142856,-0.34285714285714275
2020-06-07,1038,0,3.142857142857143,-0.3529411764705882
2020-06-08,1043,5,3.142857142857143,-0.33333333333333337
2020-06-09,1045,2,3.142857142857143,-0.24137931034482774
2020-06-10,1046,1,2.5714285714285716,-0.33333333333333337
2020-06-11,1050,4,2.5714285714285716,-0.3076923076923076
2020-06-12,1057,7,3,-0.12499999999999989
2020-06-13,1061,4,3.2857142857142856,0
2020-06-14,1062,1,3.4285714285714284,0.09090909090909083
2020-06-15,1064,2,3,-0.045454545454545414
2020-06-16,1065,1,2.857142857142857,-0.09090909090909105
2020-06-17,1071,6,3.5714285714285716,0.38888888888888884
2020-06-18,1075,4,3.5714285714285716,0.38888888888888884
2020-06-19,1079,4,3.142857142857143,0.04761904761904767
2020-06-20,1079,0,2.5714285714285716,-0.21739130434782605
2020-06-21,1079,0,2.4285714285714284,-0.29166666666666674
2020-06-22,1084,5,2.857142857142857,-0.04761904761904778
2020-06-23,1085,1,2.857142857142857,0
2020-06-24,1093,8,3.142857142857143,-0.12
2020-06-25,1094,1,2.7142857142857144,-0.24
2020-06-26,1098,4,2.7142857142857144,-0.13636363636363635
2020-06-27,1098,0,2.7142857142857144,0.05555555555555558
2020-06-28,1100,2,3,0.2352941176470591
2020-06-29,1101,1,2.4285714285714284,-0.15000000000000002
2020-06-30,1107,6,3.142857142857143,0.10000000000000009
2020-07-01,1111,4,2.5714285714285716,-0.18181818181818177
2020-07-02,1112,1,2.5714285714285716,-0.05263157894736836
2020-07-03,1113,1,2.142857142857143,-0.21052631578947378
2020-07-04,1113,0,2.142857142857143,-0.21052631578947378
2020-07-05,1114,1,2,-0.33333333333333337
2020-07-06,1117,3,2.2857142857142856,-0.05882352941176472
2020-07-07,1119,2,1.7142857142857142,-0.4545454545454546
2020-07-08,1120,1,1.2857142857142858,-0.5
2020-07-09,1123,3,1.5714285714285714,-0.38888888888888895
2020-07-10,1127,4,2,-0.06666666666666665
2020-07-11,1130,3,2.4285714285714284,0.1333333333333333
2020-07-12,1132,2,2.5714285714285716,0.2857142857142858
2020-07-13,1134,2,2.4285714285714284,0.0625
2020-07-14,1136,2,2.4285714285714284,0.41666666666666674
2020-07-15,1143,7,3.2857142857142856,1.5555555555555558
2020-07-16,1146,3,3.2857142857142856,1.0909090909090913
2020-07-17,1151,5,3.4285714285714284,0.7142857142857142
2020-07-18,1152,1,3.142857142857143,0.2941176470588236
2020-07-19,1157,5,3.5714285714285716,0.38888888888888884
2020-07-20,1160,3,3.7142857142857144,0.5294117647058825
2020-07-21,1167,7,4.428571428571429,0.8235294117647063
2020-07-22,1171,4,4,0.21739130434782594
2020-07-23,1176,5,4.285714285714286,0.3043478260869563
2020-07-24,1177,1,3.7142857142857144,0.08333333333333326
2020-07-25,1179,2,3.857142857142857,0.2272727272727273
2020-07-26,1184,5,3.857142857142857,0.08000000000000007
2020-07-27,1189,5,4.142857142857143,0.11538461538461564
2020-07-28,1193,4,3.7142857142857144,-0.16129032258064524
2020-07-29,1197,4,3.7142857142857144,-0.0714285714285714
2020-07-30,1199,2,3.2857142857142856,-0.23333333333333328
2020-07-31,1205,6,4,0.07692307692307687
2020-08-01,1206,1,3.857142857142857,0
2020-08-02,1208,2,3.4285714285714284,-0.11111111111111127
2020-08-03,1213,5,3.4285714285714284,-0.1724137931034484
2020-08-04,1217,4,3.4285714285714284,-0.07692307692307687
2020-08-05,1221,4,3.4285714285714284,-0.07692307692307687
2020-08-06,1227,6,4,0.21739130434782594
2020-08-07,1231,4,3.7142857142857144,-0.0714285714285714
2020-08-08,1232,1,3.7142857142857144,-0.0370370370370372
2020-08-09,1233,1,3.5714285714285716,0.04166666666666674
2020-08-10,1233,0,2.857142857142857,-0.16666666666666674
2020-08-11,1235,2,2.5714285714285716,-0.2499999999999999
2020-08-12,1241,6,2.857142857142857,-0.16666666666666674
2020-08-13,1247,6,2.857142857142857,-0.2857142857142857
2020-08-14,1252,5,3,-0.19230769230769218
2020-08-15,1255,3,3.2857142857142856,-0.11538461538461531
2020-08-16,1257,2,3.4285714285714284,-0.04000000000000015
2020-08-17,1258,1,3.5714285714285716,0.2500000000000002
2020-08-18,1261,3,3.7142857142857144,0.4444444444444442
2020-08-19,1266,5,3.5714285714285716,0.2500000000000002
2020-08-20,1267,1,2.857142857142857,0
2020-08-21,1269,2,2.4285714285714284,-0.19047619047619058
2020-08-22,1270,1,2.142857142857143,-0.34782608695652184
2020-08-23,1270,0,1.8571428571428572,-0.45833333333333326
2020-08-24,1272,2,2,-0.44000000000000006
2020-08-25,1276,4,2.142857142857143,-0.423076923076923
2020-08-26,1278,2,1.7142857142857142,-0.5200000000000001
2020-08-27,1280,2,1.8571428571428572,-0.34999999999999987
2020-08-28,1284,4,2.142857142857143,-0.11764705882352944
2020-08-29,1285,1,2.142857142857143,0
2020-08-30,1286,1,2.2857142857142856,0.23076923076923062
2020-08-31,1286,0,2,0
